attempt,futureRevenueCagr,normalizedOperatingMargin,capexAsPercentRevenue,workingCapitalAsPercentRevenue,wacc,terminalGrowth,estimatedValuePerShare,terminalValueShare,terminalReinvestmentRate
5501,0.1398457148,0.3901940947,0.2320576751,-0.0188566234,0.0867534814,0.030928206,741.82885185,0.7995707949,0.0828628882
5601,0.1198666119,0.395104502,0.2296704074,-0.0228920316,0.0882265143,0.0320076176,663.44671237,0.785032117,0.0857548492
5701,0.1385198863,0.4233535261,0.2228597621,-0.0244880813,0.0955923471,0.0266554239,665.3316489,0.7400659066,0.0714152451
5801,0.1442656528,0.4249681787,0.2291265166,-0.0227855013,0.0897366052,0.0292035317,778.87598689,0.7736167686,0.0782421388
5901,0.1364447861,0.4228064044,0.2276190151,-0.0242206363,0.0978201762,0.0326962305,666.93695216,0.7508624965,0.0875997816
6001,0.1419236706,0.4004065226,0.2263435781,-0.0208590447,0.0836737,0.032278765,845.38426388,0.8059938534,0.0864813075
6101,0.1439829833,0.4076935085,0.2292549046,-0.0218648416,0.0926254777,0.0338457519,740.9727821,0.7801164158,0.090679581
6201,0.1308820941,0.4224944277,0.2258388594,-0.0218598052,0.0891754134,0.0297384323,730.19116508,0.7713267445,0.0796752451
6301,0.1298232229,0.4288437349,0.2238398892,-0.0211496395,0.0892286286,0.0264408532,711.60715614,0.7600537399,0.070840367
6401,0.1465268186,0.399853356,0.2310493727,-0.0229217895,0.0868947686,0.0271181062,758.07786224,0.7851484108,0.0726548642
6501,0.1276308765,0.4136761313,0.2230790391,-0.0241546682,0.0914094941,0.0320282663,692.59729134,0.7664849114,0.0858101712
6601,0.1069020047,0.3981808089,0.2268941729,-0.0218114985,0.0900109791,0.029694587,584.23033441,0.7663082475,0.0795577746
6701,0.1262848201,0.4077633108,0.2294781745,-0.0238961075,0.0883519142,0.0306181266,700.48926554,0.7792171439,0.0820321232
6801,0.1334241744,0.3959751133,0.2266220333,-0.019649614,0.0961787348,0.0277039315,593.79868271,0.7521789094,0.0742244081
6901,0.1312516591,0.4073857048,0.2292275538,-0.0213738626,0.0870472458,0.0277357469,712.07713172,0.7795670196,0.0743096478
7001,0.1511017244,0.4248724316,0.2301530751,-0.0201738877,0.0889097562,0.0309109082,836.17631219,0.7855562852,0.0828165441
7101,0.1240067596,0.4231032343,0.2326270135,-0.0226548093,0.0889544518,0.0295963278,700.54434297,0.7738318288,0.0792945185
7201,0.1258403656,0.4100306512,0.2290290726,-0.0242128567,0.092666792,0.0297093569,642.68761629,0.760909398,0.0795973464
7301,0.1435489757,0.4102383019,0.2286155022,-0.0192858403,0.0909225606,0.03338473,763.506675,0.7854664136,0.0894444104
7401,0.1267828477,0.4001587437,0.2253624405,-0.0220738147,0.0916023902,0.0292251758,638.65326359,0.7645574639,0.0783001276
7501,0.1303992639,0.4133000622,0.2299317107,-0.0219081217,0.0902798234,0.0311852822,704.8126005,0.7761272957,0.0835516471
7601,0.1280744496,0.4166501051,0.2289279702,-0.0218017889,0.0914267854,0.0258996287,649.59831992,0.756700858,0.0693903176
7701,0.13350834,0.4115011874,0.2318398446,-0.023666788,0.0845934488,0.0325207598,814.26214084,0.80073741,0.0871296604
7801,0.1366419579,0.3957991626,0.2298008488,-0.0211146086,0.0943062435,0.0310992113,645.0582178,0.7690694924,0.083321046
7901,0.1280907926,0.4237232642,0.2307897383,-0.0235395392,0.0925913993,0.0285274535,666.33391888,0.7579281533,0.0764307893
8001,0.1113806034,0.4080780791,0.2292382067,-0.0238065841,0.0921669229,0.030482004,597.63564449,0.7605042265,0.0816674235
8101,0.1109809396,0.4036277797,0.2294023571,-0.0197613243,0.0968956538,0.0293831081,533.71769782,0.7462179441,0.0787232601
8201,0.1321853396,0.4228813303,0.2269939312,-0.0205998748,0.094798119,0.0326010171,683.83454438,0.7617096193,0.087344686
8301,0.1256156211,0.4047013077,0.2260756561,-0.021668612,0.08521472,0.0278452221,712.09080582,0.7821915325,0.0746029539
8401,0.117042094,0.4149002056,0.2237147607,-0.019237379,0.0924262901,0.0323922529,640.30444671,0.7643418876,0.0867853647
8501,0.1413655127,0.4119923409,0.2304915903,-0.0227570629,0.0940396926,0.0308162211,695.28658377,0.7662129995,0.0825628583
8601,0.1337730224,0.3985604149,0.2349064837,-0.0199235014,0.0938961846,0.0301803635,633.53912127,0.7718632987,0.0808592679
8701,0.118858545,0.4302948503,0.2276286537,-0.0202009667,0.0931525966,0.0294302913,642.30676864,0.7538567779,0.0788496733
8801,0.1240895772,0.4051642764,0.2306205579,-0.0206690195,0.0917562331,0.0293349153,632.07741289,0.7677237716,0.0785941418
8901,0.1269825661,0.4071899366,0.224999252,-0.0201201772,0.0888297175,0.031279534,701.79364863,0.7791276316,0.0838041667
9001,0.1290325611,0.3891061597,0.2308758772,-0.0204671999,0.0929295527,0.029969982,612.14212001,0.7714771686,0.0802956135
9101,0.1341571368,0.4107135996,0.2251636987,-0.0184899615,0.0898473736,0.0303705149,715.32953889,0.776207996,0.0813687215
9201,0.1160044852,0.4093155116,0.2278392169,-0.0179538009,0.0950627721,0.0304491295,582.09977066,0.7555986747,0.081579346
9301,0.1212524087,0.4173340165,0.2311636854,-0.0219044515,0.0861472344,0.0303872312,724.34530599,0.7853853158,0.0814135079
9401,0.1193579506,0.4064306707,0.2343146211,-0.0192512235,0.0945693463,0.0323638832,602.68036047,0.7682690176,0.0867093565
9501,0.1342427005,0.4248483641,0.2276045692,-0.021362914,0.0868220762,0.033764454,823.3422046,0.7926313483,0.0904617675
9601,0.1350760711,0.4073376983,0.2257649143,-0.017501444,0.091358177,0.0338140258,719.78087611,0.7822931485,0.0905945802
9701,0.1265759932,0.4242571183,0.2284927083,-0.0218687016,0.0904282202,0.0273104829,679.06636617,0.7610154601,0.0731702801
9801,0.1116541247,0.4072798319,0.2302597394,-0.0223986724,0.0894081136,0.0280063533,609.67182589,0.7658137001,0.0750346568
9901,0.131546739,0.4101987303,0.2260139129,-0.0235257079,0.0976000145,0.0302853836,615.06167058,0.7458682184,0.0811406376
10001,0.1272706393,0.42827102,0.2236637165,-0.0241572108,0.0885173992,0.0259866584,707.96934814,0.7581716279,0.0696234878
10101,0.131492381,0.4277588316,0.2287442605,-0.0225522696,0.0870972955,0.0286915544,761.83154291,0.7765130692,0.0768704486
10201,0.107637304,0.4247192381,0.2263581964,-0.0220736139,0.0958311722,0.0317500843,581.47582598,0.7451962928,0.0850648656
10301,0.1286592146,0.4249038345,0.2241687532,-0.0242165469,0.0865576412,0.032218293,789.82823728,0.7831529832,0.0863192909
10401,0.1173764819,0.3907074037,0.2305566757,-0.0225198589,0.0876724685,0.0302596469,638.07441556,0.7835655332,0.0810716839
10501,0.1187961229,0.4005984281,0.2278430463,-0.0218263874,0.0883508102,0.0319080449,667.59767451,0.782143539,0.0854880739
10601,0.112162476,0.410344269,0.2269570236,-0.0222089442,0.0927638569,0.0286176438,586.48877767,0.7528769734,0.0766724271
10701,0.1481164678,0.4225699242,0.2264095757,-0.0232915612,0.0895858048,0.0311245958,813.75393258,0.7783993621,0.0833890561
10801,0.1372793486,0.4156862309,0.2248313973,-0.0224309874,0.0923996959,0.0330541032,728.60210605,0.7711953458,0.0885585947
10901,0.1482214666,0.4073999768,0.2259708183,-0.0216148643,0.0953478762,0.0284868222,683.72973169,0.7568111974,0.0763219297
11001,0.1199997245,0.4114332604,0.2255373951,-0.0223561551,0.0903691603,0.0308222339,659.60587015,0.7680747373,0.0825789677
11101,0.1354778844,0.4206691364,0.2273901531,-0.0206527576,0.0867736019,0.0282117391,765.30026827,0.7794219868,0.0755849269
11201,0.1250753619,0.4012346523,0.2287732515,-0.0213585064,0.0915954606,0.0294650005,633.20654338,0.7677610925,0.0789426662
11301,0.1263457182,0.4093075209,0.2249378705,-0.0218776976,0.094137082,0.0296408748,627.51752559,0.7546885781,0.079413869
11401,0.1540943515,0.4025446566,0.2233327542,-0.0241079306,0.0857874291,0.0315048975,867.89995548,0.7951512869,0.0844079608
11501,0.1362958552,0.4161621914,0.2311982994,-0.0243741147,0.0846238982,0.0291568438,801.81740162,0.7904544064,0.0781170523
11601,0.1206722236,0.417732998,0.2239336174,-0.021563431,0.0923709244,0.0297893066,642.46705975,0.7567466838,0.0798115475
11701,0.1340807697,0.4003549853,0.2286510995,-0.0227674112,0.0920065257,0.0296353598,662.69278905,0.7687582681,0.0793990932
11801,0.1126600308,0.4061530462,0.227031958,-0.0214560787,0.0946307995,0.0311790282,577.28269344,0.7548529335,0.0835348916
11901,0.1351876572,0.4057695849,0.2308607648,-0.0228781721,0.09671106,0.0302595195,625.80591937,0.7556293499,0.0810713427
12001,0.1284049227,0.3952949566,0.2245835397,-0.0210485094,0.0892754012,0.0290316436,662.08688923,0.7737553381,0.0777816159
12101,0.1197853035,0.4204507538,0.2272516884,-0.0220835394,0.0905196256,0.029093584,658.80976768,0.7626172119,0.0779475668
12201,0.1343583712,0.4187006643,0.2273852025,-0.0230638616,0.0932809921,0.0302640091,687.79381691,0.7608912305,0.0810833712
12301,0.1195025688,0.4222751993,0.2333125658,-0.0214479762,0.0912413414,0.0296638865,651.90969394,0.7663462055,0.079475522
12401,0.1406232888,0.4102873432,0.2255501679,-0.0222662849,0.0874751276,0.0325315244,800.2429297,0.7895819187,0.0871585008
12501,0.1406773081,0.3927839804,0.2260636643,-0.0228958317,0.0890935398,0.0325009188,738.20551481,0.7875276515,0.0870765024
12601,0.1390804151,0.4085677683,0.2303072214,-0.0190099806,0.0915113827,0.0317929246,717.36463934,0.7799151468,0.0851796434
12701,0.1189700692,0.406742388,0.2245355241,-0.0209871706,0.0911691496,0.0281925086,619.48661493,0.7594521321,0.0755334045
