attempt,futureRevenueCagr,normalizedOperatingMargin,capexAsPercentRevenue,workingCapitalAsPercentRevenue,wacc,terminalGrowth,estimatedValuePerShare,terminalValueShare,terminalReinvestmentRate
10701,0.1682407709,0.5848029049,0.0333262777,0.0746658358,0.1151430332,0.0315104038,111.92644003,0.6635489479,0.0787760094
10801,0.1838024598,0.5870722985,0.0253615775,0.0752182434,0.1115843368,0.0274037392,125.1438858,0.667555698,0.0685093481
10901,0.1838703635,0.5907500096,0.0276448767,0.0750789202,0.1143476117,0.032662518,125.68939271,0.6714599752,0.081656295
11001,0.1793747882,0.6094995143,0.0252851881,0.0759376948,0.115237217,0.0331653115,125.8998086,0.665911706,0.0829132787
11101,0.1707384028,0.5961600819,0.0328698766,0.0752720297,0.1212515182,0.0263149627,103.97996068,0.6331710767,0.0657874068
11201,0.1596816053,0.6043463728,0.0244738802,0.0768508045,0.111705158,0.0260807444,112.28929617,0.6541056916,0.065201861
11301,0.1440008533,0.5808775607,0.0333950153,0.0761625189,0.110160797,0.0258643711,100.21461075,0.6585785922,0.0646609277
11401,0.1757678893,0.6068219239,0.0284678949,0.0748473605,0.1070042784,0.0318082921,136.26402822,0.6900095724,0.0795207302
11501,0.164257669,0.5843171779,0.023723669,0.0739064437,0.1130037583,0.0287430342,111.42946171,0.6573537689,0.0718575856
11601,0.1986388108,0.6061173095,0.0273315725,0.0776523567,0.1188609558,0.0327355986,131.32349455,0.6624551268,0.0818389966
11701,0.1492266584,0.5889179251,0.0265998016,0.0780598577,0.1127758679,0.0305859489,104.69958488,0.659727442,0.0764648722
11801,0.1713804621,0.5934058977,0.0237107855,0.074779499,0.113480785,0.0265418848,115.1741691,0.6533567665,0.0663547119
11901,0.1604939036,0.5988478237,0.0258732405,0.0754415988,0.1129952002,0.0252800187,109.33534089,0.6489010351,0.0632000467
12001,0.1397238557,0.6069910252,0.0232873299,0.0773606493,0.1088239766,0.029657707,107.84469208,0.6636335221,0.0741442676
12101,0.1845938503,0.5915226729,0.0294879271,0.0748493691,0.1136046617,0.0288391691,124.18824545,0.6661697751,0.0720979228
12201,0.1843203167,0.6028596961,0.0264100127,0.0772954918,0.1129618535,0.0272196708,126.28980545,0.6632988465,0.0680491771
12301,0.1826081237,0.579613017,0.0268235113,0.0766041945,0.1087403311,0.0314822038,131.04348346,0.6879240187,0.0787055094
12401,0.1742648159,0.6036492803,0.0268650353,0.0774249146,0.1082189553,0.03099704,131.2013088,0.6840811215,0.0774926001
12501,0.1700055272,0.59253348,0.0232155523,0.0770875953,0.1087836077,0.0287044908,123.04411549,0.6740294699,0.071761227
12601,0.191993132,0.5879919936,0.0235425396,0.0776195631,0.1179350119,0.0301870963,122.68472972,0.6568344627,0.0754677408
12701,0.1749285279,0.6032283871,0.0211014511,0.0766307568,0.1158130785,0.0308276412,119.17098112,0.6557352978,0.0770691031
12801,0.17735282,0.5938282053,0.0284342514,0.0752600977,0.1130809556,0.0293721937,121.32812823,0.6658614489,0.0734304842
12901,0.1739181349,0.5978905895,0.0263197681,0.0744069027,0.1145601727,0.0301252392,118.54484363,0.6596934503,0.0753130979
